astar_path_len,astar_nodes,astar_time_ms,bfs_path_len,bfs_nodes,bfs_time_ms,node_ratio,weather,num_cps,track
32,132472,15385.68,34,80416,7813.21,1.6473,Sunny,3,custom_track_1775914710.json
25,51582,5250.41,25,47292,4216.26,1.0907,Sunny,1,custom_track_1776469192.json
27,53191,5466.98,29,40848,3770.66,1.3022,Sunny,2,ga_Normal_0
28,49272,5091.5,14,28801,2688.1,1.7108,Sunny,1,ga_Normal_1
25,56748,5725.13,15,17738,1593.41,3.1992,Sunny,2,ga_Normal_2
25,59254,6049.39,25,36845,3231.93,1.6082,Sunny,2,ga_Normal_3
27,54052,5490.58,30,37597,3234.26,1.4377,Sunny,2,ga_Normal_4
24,35589,3625.29,26,41913,3906.27,0.8491,Sunny,1,ga_Normal_5
21,28952,2838.73,22,36043,3059.18,0.8033,Sunny,1,ga_Normal_7
29,47653,4723.42,28,57786,5096.64,0.8246,Sunny,1,ga_Normal_9
27,65680,7197.0,28,39931,3514.47,1.6448,Sunny,2,ga_Normal_10
27,51715,5261.78,28,34856,3068.13,1.4837,Sunny,2,ga_Normal_11
15,10694,1037.0,17,21775,1931.0,0.4911,Sunny,1,ga_Normal_12
24,55435,5575.92,25,35289,3092.15,1.5709,Sunny,2,ga_Normal_13
