astar_path_len,astar_nodes,astar_time_ms,bfs_path_len,bfs_nodes,bfs_time_ms,node_ratio,weather,num_cps,track,fitness
32,132472,14856.63,34,80416,8124.12,1.6473,Sunny,3,custom_track_1775914710.json,289.8
25,51582,5161.35,25,47292,4159.23,1.0907,Sunny,1,custom_track_1776469192.json,232.8
27,53191,5401.81,29,40848,3878.78,1.3022,Sunny,2,ga_Normal_0,227.7
28,49272,5111.07,14,28801,2713.56,1.7108,Sunny,1,ga_Normal_1,272.9
25,56748,5948.4,15,17738,1559.97,3.1992,Sunny,2,ga_Normal_2,230.3
25,59254,8064.23,25,36845,3604.39,1.6082,Sunny,2,ga_Normal_3,237.2
27,54052,5576.29,30,37597,4256.9,1.4377,Sunny,2,ga_Normal_4,235.8
24,35589,4631.87,26,41913,5035.04,0.8491,Sunny,1,ga_Normal_5,239.3
21,28952,3042.33,22,36043,3304.89,0.8033,Sunny,1,ga_Normal_7,267.5
29,47653,4929.02,28,57786,5160.82,0.8246,Sunny,1,ga_Normal_9,260.0
27,65680,7267.7,28,39931,3736.78,1.6448,Sunny,2,ga_Normal_10,225.5
27,51715,6135.19,28,34856,3378.81,1.4837,Sunny,2,ga_Normal_11,231.2
15,10694,1122.97,17,21775,1940.91,0.4911,Sunny,1,ga_Normal_12,233.0
24,55435,5725.68,25,35289,3190.22,1.5709,Sunny,2,ga_Normal_13,222.8
