astar_path_len,astar_nodes,astar_time_ms,bfs_path_len,bfs_nodes,bfs_time_ms,node_ratio,weather,num_cps,track
32,132472,18442.01,34,80416,9953.01,1.6473,Sunny,3,custom_track_1775914710.json
47,67481,4047.0,49,44314,2206.0,1.5228,Rainy,3,custom_track_1775914710.json
25,51582,6823.99,25,47292,5237.04,1.0907,Sunny,1,custom_track_1776469192.json
39,19388,1061.0,39,27226,1221.04,0.7121,Rainy,1,custom_track_1776469192.json
30,32084,2935.04,15,19309,1507.0,1.6616,Snowy,1,custom_track_1776469192.json
28,53976,6664.0,29,38558,4468.0,1.3999,Sunny,2,ga_Normal_0
43,30618,1622.0,43,23728,1054.0,1.2904,Rainy,2,ga_Normal_0
27,51286,6302.06,27,34810,3662.02,1.4733,Sunny,2,ga_Normal_1
42,29922,1564.0,42,22211,956.01,1.3472,Rainy,2,ga_Normal_1
32,42863,3929.99,33,26936,2193.99,1.5913,Snowy,2,ga_Normal_1
25,42501,5686.0,25,48516,5296.0,0.876,Sunny,1,ga_Normal_2
38,20675,1147.0,39,27468,1317.0,0.7527,Rainy,1,ga_Normal_2
30,31094,2809.0,32,41805,3380.0,0.7438,Snowy,1,ga_Normal_2
